"N","Group","Domain","Param","True","Reps_Used","Mean_Est","Bias","Rel_Bias","Emp_SD","RMSE","Mean_SE","SE_Bias","Coverage_95"
1000,"a","Conative","It29_a",1.318,200,1.303,-0.015,-0.012,0.091,0.092,0.09,-0.013,0.945
1000,"a","Conative","It30_a",1.373,200,1.371,-0.002,-0.002,0.085,0.085,0.092,0.085,0.975
1000,"a","Conative","It31_a",1.427,200,1.432,0.004,0.003,0.098,0.097,0.095,-0.027,0.94
1000,"a","Conative","It32_a",1.482,200,1.496,0.014,0.01,0.091,0.092,0.097,0.065,0.975
1000,"a","Conative","It33_a",1.536,200,1.543,0.006,0.004,0.094,0.094,0.099,0.06,0.97
1000,"a","Conative","It34_a",1.591,200,1.602,0.011,0.007,0.102,0.103,0.103,0.004,0.955
1000,"a","Conative","It35_a",1.645,200,1.658,0.013,0.008,0.107,0.108,0.106,-0.014,0.965
1000,"a","Conative","It36_a",1.7,200,1.694,-0.006,-0.004,0.109,0.109,0.106,-0.025,0.94
1000,"b1","Cognitive","It1_b1",-1.235,200,-1.237,-0.001,0.001,0.091,0.091,0.094,0.027,0.935
1000,"b1","Cognitive","It2_b1",-1.227,200,-1.239,-0.012,0.01,0.092,0.092,0.092,0.004,0.95
1000,"b1","Cognitive","It3_b1",-1.154,200,-1.167,-0.012,0.01,0.088,0.088,0.088,-0.001,0.945
1000,"b1","Cognitive","It4_b1",-1.319,200,-1.328,-0.009,0.007,0.099,0.099,0.092,-0.068,0.935
1000,"b1","Cognitive","It5_b1",-1.155,200,-1.159,-0.004,0.003,0.085,0.085,0.084,-0.004,0.98
1000,"b1","Cognitive","It6_b1",-1.233,200,-1.231,0.002,-0.002,0.081,0.081,0.085,0.044,0.96
1000,"b1","Cognitive","It7_b1",-1.295,200,-1.291,0.004,-0.003,0.086,0.086,0.085,-0.01,0.95
1000,"b1","Cognitive","It8_b1",-1.076,200,-1.079,-0.004,0.003,0.079,0.079,0.077,-0.028,0.94
1000,"b1","Cognitive","It9_b1",-1.325,200,-1.325,0,0,0.088,0.087,0.085,-0.036,0.97
1000,"b1","Cognitive","It10_b1",-1.022,200,-1.026,-0.004,0.004,0.077,0.077,0.073,-0.045,0.95
1000,"b1","Cognitive","It11_b1",-1.151,200,-1.148,0.002,-0.002,0.075,0.075,0.076,0.007,0.945
1000,"b1","Cognitive","It12_b1",-1.163,200,-1.168,-0.005,0.004,0.074,0.074,0.075,0.011,0.95
1000,"b1","Affective","It13_b1",-1.097,200,-1.103,-0.006,0.005,0.124,0.124,0.12,-0.034,0.975
1000,"b1","Affective","It14_b1",-1.209,200,-1.221,-0.012,0.01,0.127,0.127,0.121,-0.049,0.95
1000,"b1","Affective","It15_b1",-1.419,200,-1.435,-0.016,0.011,0.123,0.124,0.126,0.027,0.975
1000,"b1","Affective","It16_b1",-1.351,200,-1.363,-0.012,0.009,0.12,0.12,0.118,-0.017,0.95
1000,"b1","Affective","It17_b1",-1.108,200,-1.108,0,0,0.099,0.099,0.101,0.017,0.955
1000,"b1","Affective","It18_b1",-1.172,200,-1.169,0.003,-0.003,0.107,0.107,0.099,-0.076,0.94
1000,"b1","Affective","It19_b1",-1.216,200,-1.22,-0.004,0.003,0.098,0.098,0.1,0.015,0.955
1000,"b1","Affective","It20_b1",-1.224,200,-1.23,-0.006,0.005,0.089,0.089,0.097,0.096,0.96
1000,"b1","Affective","It21_b1",-1.247,200,-1.245,0.002,-0.002,0.091,0.091,0.094,0.034,0.96
1000,"b1","Affective","It22_b1",-1.061,200,-1.066,-0.005,0.005,0.09,0.09,0.086,-0.049,0.935
1000,"b1","Affective","It23_b1",-1.326,200,-1.327,-0.001,0.001,0.097,0.097,0.093,-0.035,0.925
1000,"b1","Affective","It24_b1",-1.194,200,-1.191,0.003,-0.002,0.082,0.082,0.086,0.047,0.955
1000,"b1","Conative","It25_b1",-1.018,200,-1.026,-0.008,0.008,0.094,0.094,0.097,0.037,0.975
1000,"b1","Conative","It26_b1",-1.188,200,-1.195,-0.007,0.006,0.108,0.108,0.102,-0.061,0.93
1000,"b1","Conative","It27_b1",-1.113,200,-1.129,-0.016,0.015,0.1,0.101,0.095,-0.047,0.95
1000,"b1","Conative","It28_b1",-1.2,200,-1.214,-0.014,0.012,0.098,0.099,0.096,-0.02,0.945
1000,"b1","Conative","It29_b1",-1.153,200,-1.176,-0.022,0.02,0.087,0.09,0.092,0.06,0.965
1000,"b1","Conative","It30_b1",-1.189,200,-1.196,-0.006,0.005,0.093,0.093,0.09,-0.026,0.955
1000,"b1","Conative","It31_b1",-1.111,200,-1.117,-0.005,0.005,0.089,0.089,0.085,-0.046,0.93
1000,"b1","Conative","It32_b1",-1.253,200,-1.259,-0.006,0.004,0.076,0.076,0.088,0.147,0.98
1000,"b1","Conative","It33_b1",-1.312,200,-1.315,-0.004,0.003,0.083,0.082,0.088,0.068,0.965
1000,"b1","Conative","It34_b1",-1.174,200,-1.173,0,0,0.07,0.07,0.081,0.162,0.965
1000,"b1","Conative","It35_b1",-0.987,200,-0.989,-0.003,0.003,0.077,0.077,0.074,-0.047,0.94
1000,"b1","Conative","It36_b1",-1.296,200,-1.308,-0.013,0.01,0.087,0.088,0.083,-0.046,0.955
1000,"b2","Cognitive","It1_b2",0.075,200,0.075,0.001,NA,0.061,0.061,0.063,0.039,0.97
1000,"b2","Cognitive","It2_b2",0.009,200,0.006,-0.002,NA,0.064,0.064,0.062,-0.024,0.96
1000,"b2","Cognitive","It3_b2",0.105,200,0.109,0.004,NA,0.057,0.057,0.062,0.072,0.98
1000,"b2","Cognitive","It4_b2",0.108,200,0.11,0.001,NA,0.063,0.063,0.06,-0.04,0.93
1000,"b2","Cognitive","It5_b2",-0.032,200,-0.031,0.001,NA,0.052,0.052,0.059,0.134,0.985
1000,"b2","Cognitive","It6_b2",-0.064,200,-0.058,0.005,NA,0.052,0.053,0.058,0.109,0.96
1000,"b2","Cognitive","It7_b2",0.007,200,0.006,-0.001,NA,0.058,0.057,0.057,-0.009,0.95
1000,"b2","Cognitive","It8_b2",0.087,200,0.088,0.001,NA,0.055,0.055,0.056,0.025,0.945
1000,"b2","Cognitive","It9_b2",-0.085,200,-0.081,0.004,NA,0.057,0.057,0.056,-0.022,0.955
1000,"b2","Cognitive","It10_b2",-0.038,200,-0.041,-0.002,NA,0.056,0.056,0.055,-0.021,0.95
1000,"b2","Cognitive","It11_b2",-0.163,200,-0.16,0.002,NA,0.053,0.053,0.055,0.021,0.97
1000,"b2","Cognitive","It12_b2",0.114,200,0.111,-0.003,NA,0.053,0.053,0.054,0.017,0.96
1000,"b2","Affective","It13_b2",0.125,200,0.133,0.008,NA,0.085,0.085,0.083,-0.02,0.96
1000,"b2","Affective","It14_b2",-0.078,200,-0.08,-0.002,NA,0.081,0.08,0.079,-0.018,0.945
1000,"b2","Affective","It15_b2",0.039,200,0.031,-0.007,NA,0.075,0.075,0.076,0.009,0.95
1000,"b2","Affective","It16_b2",0.09,200,0.098,0.008,NA,0.075,0.075,0.073,-0.023,0.935
1000,"b2","Affective","It17_b2",-0.068,200,-0.073,-0.005,NA,0.069,0.069,0.07,0.023,0.955
1000,"b2","Affective","It18_b2",0.036,200,0.038,0.002,NA,0.071,0.071,0.068,-0.046,0.955
1000,"b2","Affective","It19_b2",0.062,200,0.063,0.001,NA,0.06,0.06,0.066,0.099,0.97
1000,"b2","Affective","It20_b2",-0.124,200,-0.119,0.004,NA,0.062,0.062,0.065,0.039,0.96
1000,"b2","Affective","It21_b2",0.164,200,0.158,-0.006,NA,0.065,0.065,0.063,-0.032,0.945
1000,"b2","Affective","It22_b2",-0.068,200,-0.073,-0.005,NA,0.06,0.06,0.062,0.031,0.955
1000,"b2","Affective","It23_b2",0.08,200,0.078,-0.002,NA,0.062,0.062,0.06,-0.034,0.95
1000,"b2","Affective","It24_b2",0.002,200,0.004,0.003,NA,0.058,0.058,0.059,0.019,0.95
1000,"b2","Conative","It25_b2",0.028,200,0.027,-0.001,NA,0.064,0.064,0.071,0.101,0.965
1000,"b2","Conative","It26_b2",-0.033,200,-0.037,-0.004,NA,0.069,0.069,0.069,-0.004,0.935
1000,"b2","Conative","It27_b2",-0.119,200,-0.128,-0.009,NA,0.065,0.065,0.067,0.036,0.96
1000,"b2","Conative","It28_b2",0.005,200,-0.005,-0.01,NA,0.063,0.063,0.065,0.034,0.965
1000,"b2","Conative","It29_b2",0.093,200,0.085,-0.008,NA,0.067,0.067,0.064,-0.042,0.94
1000,"b2","Conative","It30_b2",0.195,200,0.19,-0.005,NA,0.058,0.058,0.063,0.077,0.97
1000,"b2","Conative","It31_b2",0.022,200,0.021,-0.001,NA,0.061,0.061,0.06,-0.008,0.94
1000,"b2","Conative","It32_b2",0.005,200,0,-0.005,NA,0.057,0.057,0.059,0.034,0.97
1000,"b2","Conative","It33_b2",0.162,200,0.158,-0.004,NA,0.059,0.059,0.058,-0.009,0.94
1000,"b2","Conative","It34_b2",0.111,200,0.111,0,NA,0.054,0.054,0.057,0.058,0.965
1000,"b2","Conative","It35_b2",0.007,200,-0.001,-0.007,NA,0.056,0.057,0.056,-0.011,0.96
1000,"b2","Conative","It36_b2",0.109,200,0.106,-0.004,NA,0.056,0.056,0.055,-0.012,0.955
1000,"b3","Cognitive","It1_b3",0.974,200,0.978,0.004,0.004,0.081,0.081,0.084,0.035,0.965
1000,"b3","Cognitive","It2_b3",1.19,200,1.188,-0.002,-0.002,0.088,0.088,0.09,0.024,0.955
1000,"b3","Cognitive","It3_b3",0.987,200,0.989,0.003,0.003,0.085,0.085,0.081,-0.042,0.925
1000,"b3","Cognitive","It4_b3",1.135,200,1.145,0.01,0.009,0.09,0.09,0.085,-0.055,0.94
1000,"b3","Cognitive","It5_b3",0.944,200,0.95,0.006,0.006,0.079,0.079,0.077,-0.025,0.96
1000,"b3","Cognitive","It6_b3",1.182,200,1.183,0.001,0.001,0.078,0.078,0.083,0.069,0.965
1000,"b3","Cognitive","It7_b3",1.093,200,1.098,0.005,0.005,0.083,0.083,0.079,-0.052,0.95
1000,"b3","Cognitive","It8_b3",1.126,200,1.132,0.006,0.005,0.079,0.079,0.079,-0.003,0.955
1000,"b3","Cognitive","It9_b3",0.931,200,0.935,0.004,0.005,0.069,0.069,0.072,0.033,0.95
1000,"b3","Cognitive","It10_b3",1.005,200,1.015,0.01,0.01,0.077,0.078,0.073,-0.057,0.95
1000,"b3","Cognitive","It11_b3",1.193,200,1.2,0.007,0.006,0.077,0.077,0.077,0,0.97
1000,"b3","Cognitive","It12_b3",1.19,200,1.196,0.006,0.005,0.073,0.073,0.076,0.049,0.98
1000,"b3","Affective","It13_b3",1.095,200,1.108,0.013,0.012,0.126,0.126,0.12,-0.045,0.945
1000,"b3","Affective","It14_b3",0.966,200,0.975,0.009,0.009,0.108,0.108,0.108,-0.004,0.955
1000,"b3","Affective","It15_b3",1.067,200,1.07,0.002,0.002,0.101,0.101,0.107,0.061,0.97
1000,"b3","Affective","It16_b3",1.09,200,1.11,0.02,0.018,0.115,0.116,0.105,-0.086,0.95
1000,"b3","Affective","It17_b3",1.336,200,1.333,-0.003,-0.002,0.111,0.111,0.111,0.003,0.945
1000,"b3","Affective","It18_b3",1.175,200,1.177,0.002,0.002,0.094,0.094,0.1,0.059,0.96
1000,"b3","Affective","It19_b3",0.958,200,0.959,0.001,0.001,0.086,0.086,0.089,0.03,0.965
1000,"b3","Affective","It20_b3",1.041,200,1.044,0.003,0.003,0.089,0.088,0.089,0.008,0.94
1000,"b3","Affective","It21_b3",1.089,200,1.087,-0.002,-0.002,0.085,0.085,0.087,0.028,0.95
1000,"b3","Affective","It22_b3",1.007,200,1.014,0.007,0.007,0.088,0.088,0.084,-0.054,0.955
1000,"b3","Affective","It23_b3",1.074,200,1.074,0,0,0.084,0.084,0.083,-0.01,0.935
1000,"b3","Affective","It24_b3",1.2,200,1.204,0.004,0.003,0.085,0.085,0.086,0.01,0.97
1000,"b3","Conative","It25_b3",1.266,200,1.259,-0.007,-0.005,0.098,0.098,0.108,0.094,0.975
1000,"b3","Conative","It26_b3",1.032,200,1.035,0.003,0.003,0.098,0.098,0.095,-0.035,0.945
1000,"b3","Conative","It27_b3",1.231,200,1.223,-0.008,-0.007,0.097,0.097,0.099,0.024,0.955
1000,"b3","Conative","It28_b3",1.144,200,1.145,0.002,0.001,0.099,0.099,0.093,-0.061,0.915
1000,"b3","Conative","It29_b3",1.069,200,1.075,0.006,0.006,0.097,0.097,0.089,-0.086,0.925
1000,"b3","Conative","It30_b3",1.119,200,1.118,-0.002,-0.002,0.085,0.085,0.087,0.026,0.965
1000,"b3","Conative","It31_b3",1.098,200,1.099,0.001,0.001,0.082,0.082,0.084,0.025,0.955
1000,"b3","Conative","It32_b3",1.16,200,1.154,-0.006,-0.005,0.088,0.088,0.084,-0.053,0.915
1000,"b3","Conative","It33_b3",1.165,200,1.166,0.001,0.001,0.078,0.078,0.083,0.06,0.97
1000,"b3","Conative","It34_b3",1.051,200,1.052,0.001,0,0.072,0.072,0.077,0.063,0.95
1000,"b3","Conative","It35_b3",1.052,200,1.044,-0.008,-0.007,0.071,0.071,0.075,0.064,0.97
